time_step,cur_activity,charge_received,charge_received_pv,charge_received_grid,charge_received_work,charge_received_public,soc,mu,work_charge_instruction,home_charge_instruction,emergency_charge_instruction,soc_abs
11860,1,0.917,0,0.917,0,0,0.546,11.81,0,1.321,0,42.042
11865,1,0.405,0,0.405,0,0,0.551,11.809,0,0.405,0,42.427
11870,0,0,0,0,0,0,0.544,11.808,0,0,0,41.888
11875,0,0,0,0,0,0,0.536,11.807,0,0,0,41.272
11880,0,0,0,0,0,0,0.529,11.807,0,0,0,40.733
11885,0,0,0,0,0,0,0.522,11.807,0,0,0,40.194
11890,0,0,0,0,0,0,0.514,11.806,0,0,0,39.578
11895,0,0,0,0,0,0,0.507,11.806,0,0,0,39.039
11900,0,0,0,0,0,0,0.499,11.806,0,0,0,38.423
11905,0,0,0,0,0,0,0.492,11.805,0,0,0,37.884
11910,0,0,0,0,0,0,0.485,11.802,0,0,0,37.345
11915,0,0,0,0,0,0,0.477,11.796,0,0,0,36.729
11920,0,0,0,0,0,0,0.47,11.792,0,0,0,36.19
11925,0,0,0,0,0,0,0.462,11.788,0,0,0,35.574
11930,0,0,0,0,0,0,0.455,11.791,0,0,0,35.035
11935,0,0,0,0,0,0,0.448,11.793,0,0,0,34.496
11940,0,0,0,0,0,0,0.44,11.797,0,0,0,33.88
11945,0,0,0,0,0,0,0.433,11.793,0,0,0,33.341
11950,0,0,0,0,0,0,0.425,11.79,0,0,0,32.725
11955,0,0,0,0,0,0,0.418,11.794,0,0,0,32.186
11960,0,0,0,0,0,0,0.411,11.798,0,0,0,31.647
11965,0,0,0,0,0,0,0.403,11.797,0,0,0,31.031
11970,0,0,0,0,0,0,0.396,11.797,0,0,0,30.492
11975,0,0,0,0,0,0,0.388,11.795,0,0,0,29.876
11980,0,0,0,0,0,0,0.381,11.79,0,0,0,29.337
11985,0,0,0,0,0,0,0.374,11.785,0,0,0,28.798
11990,0,0,0,0,0,0,0.366,11.784,0,0,0,28.182
11995,0,0,0,0,0,0,0.359,11.784,0,0,0,27.643
12000,0,0,0,0,0,0,0.351,11.788,0,0,0,27.027
12005,0,0,0,0,0,0,0.344,11.788,0,0,0,26.488
12010,0,0,0,0,0,0,0.337,11.787,0,0,0,25.949
12015,0,0,0,0,0,0,0.329,11.786,0,0,0,25.333
12020,0,0,0,0,0,0,0.322,11.785,0,0,0,24.794
12025,0,0,0,0,0,0,0.314,11.785,0,0,0,24.178
12030,0,0,0,0,0,0,0.307,11.784,0,0,0,23.639
12035,0,0,0,0,0,0,0.3,11.783,0,0,0,23.1
12040,0,0,0,0,0,0,0.292,11.782,0,0,0,22.484
12045,2,0.917,0,0,0.917,0,0.299,11.781,35.728,0,0,23.023
12050,2,0.917,0,0,0.917,0,0.311,11.781,34.811,0,0,23.947
12055,2,0.917,0,0,0.917,0,0.323,11.781,33.895,0,0,24.871
